4865c4865,13786
> ratA(0,67,97)
> ratB(0,15,69)
> ratA(0,68,97)
> ratB(0,15,68)
> ratA(0,69,97)
> ratB(0,15,67)
> ratA(0,70,97)
> ratB(0,15,68)
> ratA(0,71,97)
> ratB(0,15,69)
> ratA(0,71,96)
> ratB(0,16,69)
> ratA(0,71,95)
> ratB(0,17,69)
> ratA(0,71,94)
> ratB(0,18,69)
> ratA(0,71,93)
> ratB(0,19,69)
> ratA(0,72,93)
> ratB(0,18,69)
> ratA(0,73,93)
> ratB(0,17,69)
> ratA(0,74,93)
> ratB(0,16,69)
> ratA(0,75,93)
> ratB(0,15,69)
> ratA(0,75,92)
> ratB(0,14,69)
> ratA(0,75,91)
> ratB(0,13,69)
> ratA(0,76,91)
> ratB(0,13,68)
> ratA(0,77,91)
> ratB(0,13,67)
> ratA(0,77,90)
> ratB(0,12,67)
> ratA(0,77,89)
> ratB(0,11,67)
> ratA(0,77,88)
> ratB(0,10,67)
> ratA(0,77,87)
> ratB(0,9,67)
> ratA(0,78,87)
> ratB(0,8,67)
> ratA(0,79,87)
> ratB(0,7,67)
> ratA(0,79,86)
> ratB(0,7,68)
> ratA(0,79,85)
> ratB(0,7,69)
> ratA(0,79,84)
> ratB(0,7,70)
> ratA(0,79,83)
> ratB(0,7,71)
> ratA(0,79,82)
> ratB(0,7,70)
> ratA(0,79,81)
> ratB(0,7,69)
> ratA(0,80,81)
> ratB(0,8,69)
> ratA(0,81,81)
> ratB(0,9,69)
> ratA(0,81,82)
> ratB(0,9,70)
> ratA(0,81,83)
> ratB(0,9,71)
> ratA(0,81,84)
> ratB(0,10,71)
> ratA(0,81,85)
> ratB(0,11,71)
> ratA(0,82,85)
> ratB(0,12,71)
> ratA(0,83,85)
> ratB(0,13,71)
> ratA(0,83,84)
> ratB(0,13,72)
> ratA(0,83,83)
> ratB(0,13,73)
> ratA(0,84,83)
> ratB(0,14,73)
> ratA(0,85,83)
> ratB(0,15,73)
> ratA(0,85,82)
> ratB(0,16,73)
> ratA(0,85,81)
> ratB(0,17,73)
> ratA(0,86,81)
> ratB(0,16,73)
> ratA(0,87,81)
> ratB(0,15,73)
> ratA(0,88,81)
> ratB(0,15,72)
> ratA(0,89,81)
> ratB(0,15,71)
> ratA(0,89,82)
> ratB(0,16,71)
> ratA(0,89,83)
> ratB(0,17,71)
> ratA(0,88,83)
> ratB(0,18,71)
> ratA(0,87,83)
> ratB(0,19,71)
> ratA(0,87,84)
> ratB(0,19,72)
> ratA(0,87,85)
> ratB(0,19,73)
> ratA(0,88,85)
> ratB(0,20,73)
> ratA(0,89,85)
> ratB(0,21,73)
> ratA(0,89,86)
> ratB(0,21,74)
> ratA(0,89,87)
> ratB(0,21,75)
> ratA(0,89,88)
> ratB(0,22,75)
> ratA(0,89,89)
> ratB(0,23,75)
> ratA(0,89,90)
> ratB(0,24,75)
> ratA(0,89,91)
> ratB(0,25,75)
> ratA(0,89,92)
> ratB(0,25,76)
> ratA(0,89,93)
> ratB(0,25,77)
> ratA(0,90,93)
> ratB(0,26,77)
> ratA(0,91,93)
> ratB(0,27,77)
> ratA(0,92,93)
> ratB(0,27,78)
> ratA(0,93,93)
> ratB(0,27,79)
> ratA(0,93,94)
> ratB(0,27,80)
> ratA(0,93,95)
> ratB(0,27,81)
> ratA(0,94,95)
> ratB(0,28,81)
> ratA(0,95,95)
> ratB(0,29,81)
> ratA(0,95,94)
> ratB(0,29,82)
> ratA(0,95,93)
> ratB(0,29,83)
> ratA(0,96,93)
> ratB(0,29,84)
> ratA(0,97,93)
> ratB(0,29,85)
> ratA(0,97,94)
> ratB(0,29,86)
> ratA(0,97,95)
> ratB(0,29,87)
> ratA(0,98,95)
> ratB(0,30,87)
> ratA(0,99,95)
> ratB(0,31,87)
> ratA(0,99,96)
> ratB(0,31,88)
> ratA(0,99,97)
> ratB(0,31,89)
> ratA(0,99,98)
> ratB(0,30,89)
> ratA(0,99,99)
> ratB(0,29,89)
> ratA(0,99,98)
> ratB(0,28,89)
> ratA(0,99,97)
> ratB(0,27,89)
> ratA(0,98,97)
> ratB(0,27,90)
> ratA(0,97,97)
> ratB(0,27,91)
> ratA(0,96,97)
> ratB(0,28,91)
> ratA(0,95,97)
> ratB(0,29,91)
> ratA(0,95,98)
> ratB(0,29,92)
> ratA(0,95,99)
> ratB(0,29,93)
> ratA(0,96,99)
> ratB(0,30,93)
> ratA(0,97,99)
> ratB(0,31,93)
> ratA(0,96,99)
> ratB(0,32,93)
> ratA(0,95,99)
> ratB(0,33,93)
> ratA(0,94,99)
> ratB(0,33,94)
> ratA(0,93,99)
> ratB(0,33,95)
> ratA(0,92,99)
> ratB(0,32,95)
> ratA(0,91,99)
> ratB(0,31,95)
> ratA(0,90,99)
> ratB(0,30,95)
> ratA(0,89,99)
> ratB(0,29,95)
> ratA(0,88,99)
> ratB(0,28,95)
> ratA(0,87,99)
> ratB(0,27,95)
> ratA(0,87,98)
> ratB(0,27,96)
> ratA(0,87,97)
> ratB(0,27,97)
> ratA(0,88,97)
> ratB(0,28,97)
> ratA(0,89,97)
> ratB(0,29,97)
> ratA(0,89,96)
> ratB(0,30,97)
> ratA(0,89,95)
> ratB(0,31,97)
> ratA(0,90,95)
> ratB(0,32,97)
> ratA(0,91,95)
> ratB(0,33,97)
> ratA(0,91,96)
> ratB(0,33,98)
> ratA(0,91,97)
> ratB(0,33,99)
> ratA(0,92,97)
> ratB(0,32,99)
> ratA(0,93,97)
> ratB(0,31,99)
> ratA(0,92,97)
> ratB(0,30,99)
> ratA(0,91,97)
> ratB(0,29,99)
> ratA(0,91,96)
> ratB(0,28,99)
> ratA(0,91,95)
> ratB(0,27,99)
> ratA(0,90,95)
> ratB(0,26,99)
> ratA(0,89,95)
> ratB(0,25,99)
> ratA(0,88,95)
> ratB(0,25,98)
> ratA(0,87,95)
> ratB(0,25,97)
> ratA(0,86,95)
> ratB(0,25,96)
> ratA(0,85,95)
> ratB(0,25,95)
> ratA(0,85,94)
> ratB(0,24,95)
> ratA(0,85,93)
> ratB(0,23,95)
> ratA(0,86,93)
> ratB(0,22,95)
> ratA(0,87,93)
> ratB(0,21,95)
> ratA(0,87,92)
> ratB(0,21,94)
> ratA(0,87,91)
> ratB(0,21,93)
> ratA(0,86,91)
> ratB(0,21,92)
> ratA(0,85,91)
> ratB(0,21,91)
> ratA(0,84,91)
> ratB(0,21,90)
> ratA(0,83,91)
> ratB(0,21,89)
> ratA(0,83,92)
> ratB(0,20,89)
> ratA(0,83,93)
> ratB(0,19,89)
> ratA(0,82,93)
> ratB(0,19,88)
> ratA(0,81,93)
> ratB(0,19,87)
> ratA(0,81,94)
> ratB(0,19,86)
> ratA(0,81,95)
> ratB(0,19,85)
> ratA(0,82,95)
> ratB(0,19,84)
> ratA(0,83,95)
> ratB(0,19,83)
> ratA(0,83,96)
> ratB(0,19,82)
> ratA(0,83,97)
> ratB(0,19,81)
> ratA(0,83,98)
> ratB(0,18,81)
> ratA(0,83,99)
> ratB(0,17,81)
> ratA(0,84,99)
> ratB(0,16,81)
> ratA(0,85,99)
> ratB(0,15,81)
> ratA(0,85,98)
> ratB(0,15,80)
> ratA(0,85,97)
> ratB(0,15,79)
> ratA(0,85,98)
> ratB(0,16,79)
> ratA(0,85,99)
> ratB(0,17,79)
> ratA(0,84,99)
> ratB(0,18,79)
> ratA(0,83,99)
> ratB(0,19,79)
> ratA(0,82,99)
> ratB(0,20,79)
> ratA(0,81,99)
> ratB(0,21,79)
> ratA(0,80,99)
> ratB(0,21,78)
> ratA(0,79,99)
> ratB(0,21,77)
> ratA(0,79,98)
> ratB(0,20,77)
> ratA(0,79,97)
> ratB(0,19,77)
> ratA(0,80,97)
> ratB(0,18,77)
> ratA(0,81,97)
> ratB(0,17,77)
> ratA(0,80,97)
> ratB(0,17,76)
> ratA(0,79,97)
> ratB(0,17,75)
> ratA(0,79,96)
> ratB(0,16,75)
> ratA(0,79,95)
> ratB(0,15,75)
> ratA(0,78,95)
> ratB(0,14,75)
> ratA(0,77,95)
> ratB(0,13,75)
> ratA(0,77,96)
> ratB(0,12,75)
> ratA(0,77,97)
> ratB(0,11,75)
> ratA(0,77,98)
> ratB(0,11,74)
> ratA(0,77,99)
> ratB(0,11,73)
> ratA(0,77,98)
> ratB(0,10,73)
> ratA(0,77,97)
> ratB(0,9,73)
> ratA(0,76,97)
> ratB(0,9,74)
> ratA(0,75,97)
> ratB(0,9,75)
> ratA(0,75,98)
> ratB(0,8,75)
> ratA(0,75,99)
> ratB(0,7,75)
> ratA(0,74,99)
> ratB(0,7,74)
> ratA(0,73,99)
> ratB(0,7,73)
> ratA(0,72,99)
> ratB(0,6,73)
> ratA(0,71,99)
> ratB(0,5,73)
> ratA(0,70,99)
> ratB(0,5,74)
> ratA(0,69,99)
> ratB(0,5,75)
> ratA(0,68,99)
> ratB(0,5,76)
> ratA(0,67,99)
> ratB(0,5,77)
> ratA(0,66,99)
> ratB(0,4,77)
> ratA(0,65,99)
> ratB(0,3,77)
> ratA(0,64,99)
> ratB(0,2,77)
> ratA(0,63,99)
> ratB(0,1,77)
> ratA(0,62,99)
> ratB(0,1,76)
> ratA(0,61,99)
> ratB(0,1,75)
> ratA(0,61,98)
> ratB(0,1,74)
> ratA(0,61,97)
> ratB(0,1,73)
> ratA(0,60,97)
> ratB(0,1,72)
> ratA(0,59,97)
> ratB(0,1,71)
> ratA(0,58,97)
> ratB(0,1,70)
> ratA(0,57,97)
> ratB(0,1,69)
> ratA(0,57,98)
> ratB(0,1,68)
> ratA(0,57,99)
> ratB(0,1,67)
> ratA(0,58,99)
> ratB(0,2,67)
> ratA(0,59,99)
> ratB(0,3,67)
> ratA(0,58,99)
> ratB(0,3,66)
> ratA(0,57,99)
> ratB(0,3,65)
> ratA(0,56,99)
> ratB(0,2,65)
> ratA(0,55,99)
> ratB(0,1,65)
> ratA(0,54,99)
> ratB(0,1,64)
> ratA(0,53,99)
> ratB(0,1,63)
> ratA(0,52,99)
> ratB(0,1,62)
> ratA(0,51,99)
> ratB(0,1,61)
> ratA(0,51,98)
> ratB(0,2,61)
> ratA(0,51,97)
> ratB(0,3,61)
> ratA(0,50,97)
> ratB(0,3,60)
> ratA(0,49,97)
> ratB(0,3,59)
> ratA(0,49,96)
> ratB(0,2,59)
> ratA(0,49,95)
> ratB(0,1,59)
> ratA(0,50,95)
> ratB(0,1,58)
> ratA(0,51,95)
> ratB(0,1,57)
> ratA(0,52,95)
> ratB(0,2,57)
> ratA(0,53,95)
> ratB(0,3,57)
> ratA(0,53,96)
> ratB(0,3,56)
> ratA(0,53,97)
> ratB(0,3,55)
> ratA(0,54,97)
> ratB(0,3,54)
> ratA(0,55,97)
> ratB(0,3,53)
> ratA(0,55,96)
> ratB(0,3,52)
> ratA(0,55,95)
> ratB(0,3,51)
> ratA(0,55,94)
> ratB(0,2,51)
> ratA(0,55,93)
> ratB(0,1,51)
> ratA(0,54,93)
> ratB(0,1,50)
> ratA(0,53,93)
> ratB(0,1,49)
> ratA(0,52,93)
> ratB(0,1,48)
> ratA(0,51,93)
> ratB(0,1,47)
> ratA(0,51,92)
> ratB(0,1,46)
> ratA(0,51,91)
> ratB(0,1,45)
> ratA(0,50,91)
> ratB(0,1,44)
> ratA(0,49,91)
> ratB(0,1,43)
> ratA(0,48,91)
> ratB(0,2,43)
> ratA(0,47,91)
> ratB(0,3,43)
> ratA(0,47,90)
> ratB(0,3,44)
> ratA(0,47,89)
> ratB(0,3,45)
> ratA(0,47,88)
> ratB(0,3,46)
> ratA(0,47,87)
> ratB(0,3,47)
> ratA(0,48,87)
> ratB(0,3,48)
> ratA(0,49,87)
> ratB(0,3,49)
> ratA(0,50,87)
> ratB(0,4,49)
> ratA(0,51,87)
> ratB(0,5,49)
> ratA(0,51,88)
> ratB(0,5,48)
> ratA(0,51,89)
> ratB(0,5,47)
> ratA(0,50,89)
> ratB(0,6,47)
> ratA(0,49,89)
> ratB(0,7,47)
> ratA(0,50,89)
> ratB(0,7,48)
> ratA(0,51,89)
> ratB(0,7,49)
> ratA(0,51,88)
> ratB(0,8,49)
> ratA(0,51,87)
> ratB(0,9,49)
> ratA(0,52,87)
> ratB(0,9,50)
> ratA(0,53,87)
> ratB(0,9,51)
> ratA(0,53,86)
> ratB(0,9,52)
> ratA(0,53,85)
> ratB(0,9,53)
> ratA(0,53,84)
> ratB(0,10,53)
> ratA(0,53,83)
> ratB(0,11,53)
> ratA(0,53,84)
> ratB(0,12,53)
> ratA(0,53,85)
> ratB(0,13,53)
> ratA(0,53,86)
> ratB(0,13,52)
> ratA(0,53,87)
> ratB(0,13,51)
> ratA(0,52,87)
> ratB(0,12,51)
> ratA(0,51,87)
> ratB(0,11,51)
> ratA(0,50,87)
> ratB(0,11,50)
> ratA(0,49,87)
> ratB(0,11,49)
> ratA(0,48,87)
> ratB(0,12,49)
> ratA(0,47,87)
> ratB(0,13,49)
> ratA(0,46,87)
> ratB(0,13,48)
> ratA(0,45,87)
> ratB(0,13,47)
> ratA(0,45,86)
> ratB(0,14,47)
> ratA(0,45,85)
> ratB(0,15,47)
> ratA(0,44,85)
> ratB(0,16,47)
> ratA(0,43,85)
> ratB(0,17,47)
> ratA(0,43,86)
> ratB(0,17,46)
> ratA(0,43,87)
> ratB(0,17,45)
> ratA(0,43,88)
> ratB(0,16,45)
> ratA(0,43,89)
> ratB(0,15,45)
> ratA(0,42,89)
> ratB(0,14,45)
> ratA(0,41,89)
> ratB(0,13,45)
> ratA(0,41,90)
> ratB(0,13,44)
> ratA(0,41,91)
> ratB(0,13,43)
> ratA(0,42,91)
> ratB(0,14,43)
> ratA(0,43,91)
> ratB(0,15,43)
> ratA(0,44,91)
> ratB(0,16,43)
> ratA(0,45,91)
> ratB(0,17,43)
> ratA(0,45,92)
> ratB(0,18,43)
> ratA(0,45,93)
> ratB(0,19,43)
> ratA(0,44,93)
> ratB(0,20,43)
> ratA(0,43,93)
> ratB(0,21,43)
> ratA(0,43,94)
> ratB(0,21,42)
> ratA(0,43,95)
> ratB(0,21,41)
> ratA(0,44,95)
> ratB(0,21,40)
> ratA(0,45,95)
> ratB(0,21,39)
> ratA(0,46,95)
> ratB(0,20,39)
> ratA(0,47,95)
> ratB(0,19,39)
> ratA(0,47,96)
> ratB(0,19,40)
> ratA(0,47,97)
> ratB(0,19,41)
> ratA(0,47,98)
> ratB(0,18,41)
> ratA(0,47,99)
> ratB(0,17,41)
> ratA(0,48,99)
> ratB(0,16,41)
> ratA(0,49,99)
> ratB(0,15,41)
> ratA(0,48,99)
> ratB(0,15,40)
> ratA(0,47,99)
> ratB(0,15,39)
> ratA(0,46,99)
> ratB(0,16,39)
> ratA(0,45,99)
> ratB(0,17,39)
> ratA(0,44,99)
> ratB(0,17,38)
> ratA(0,43,99)
> ratB(0,17,37)
> ratA(0,43,98)
> ratB(0,18,37)
> ratA(0,43,97)
> ratB(0,19,37)
> ratA(0,44,97)
> ratB(0,20,37)
> ratA(0,45,97)
> ratB(0,21,37)
> ratA(0,44,97)
> ratB(0,21,36)
> ratA(0,43,97)
> ratB(0,21,35)
> ratA(0,42,97)
> ratB(0,22,35)
> ratA(0,41,97)
> ratB(0,23,35)
> ratA(0,40,97)
> ratB(0,23,34)
> ratA(0,39,97)
> ratB(0,23,33)
> ratA(0,38,97)
> ratB(0,22,33)
> ratA(0,37,97)
> ratB(0,21,33)
> ratA(0,36,97)
> ratB(0,20,33)
> ratA(0,35,97)
> ratB(0,19,33)
> ratA(0,35,98)
> ratB(0,18,33)
> ratA(0,35,99)
> ratB(0,17,33)
> ratA(0,36,99)
> ratB(0,16,33)
> ratA(0,37,99)
> ratB(0,15,33)
> ratA(0,38,99)
> ratB(0,15,34)
> ratA(0,39,99)
> ratB(0,15,35)
> ratA(0,40,99)
> ratB(0,14,35)
> ratA(0,41,99)
> ratB(0,13,35)
> ratA(0,40,99)
> ratB(0,13,36)
> ratA(0,39,99)
> ratB(0,13,37)
> ratA(0,38,99)
> ratB(0,14,37)
> ratA(0,37,99)
> ratB(0,15,37)
> ratA(0,36,99)
> ratB(0,14,37)
> ratA(0,35,99)
> ratB(0,13,37)
> ratA(0,35,98)
> ratB(0,13,38)
> ratA(0,35,97)
> ratB(0,13,39)
> ratA(0,35,96)
> ratB(0,12,39)
> ratA(0,35,95)
> ratB(0,11,39)
> ratA(0,35,94)
> ratB(0,10,39)
> ratA(0,35,93)
> ratB(0,9,39)
> ratA(0,36,93)
> ratB(0,8,39)
> ratA(0,37,93)
> ratB(0,7,39)
> ratA(0,38,93)
> ratB(0,6,39)
> ratA(0,39,93)
> ratB(0,5,39)
> ratA(0,39,94)
> ratB(0,4,39)
> ratA(0,39,95)
> ratB(0,3,39)
> ratA(0,40,95)
> ratB(0,3,38)
> ratA(0,41,95)
> ratB(0,3,37)
> ratA(0,41,94)
> ratB(0,2,37)
> ratA(0,41,93)
> ratB(0,1,37)
> ratA(0,41,94)
> ratB(0,1,36)
> ratA(0,41,95)
> ratB(0,1,35)
> ratA(0,40,95)
> ratB(0,2,35)
> ratA(0,39,95)
> ratB(0,3,35)
> ratA(0,38,95)
> ratB(0,3,34)
> ratA(0,37,95)
> ratB(0,3,33)
> ratA(0,38,95)
> ratB(0,3,32)
> ratA(0,39,95)
> ratB(0,3,31)
> ratA(0,39,94)
> ratB(0,2,31)
> ratA(0,39,93)
> ratB(0,1,31)
> ratA(0,39,92)
> ratB(0,1,30)
> ratA(0,39,91)
> ratB(0,1,29)
> ratA(0,39,90)
> ratB(0,1,28)
> ratA(0,39,89)
> ratB(0,1,27)
> ratA(0,38,89)
> ratB(0,2,27)
> ratA(0,37,89)
> ratB(0,3,27)
> ratA(0,37,88)
> ratB(0,4,27)
> ratA(0,37,87)
> ratB(0,5,27)
> ratA(0,38,87)
> ratB(0,5,28)
> ratA(0,39,87)
> ratB(0,5,29)
> ratA(0,40,87)
> ratB(0,4,29)
> ratA(0,41,87)
> ratB(0,3,29)
> ratA(0,41,86)
> ratB(0,4,29)
> ratA(0,41,85)
> ratB(0,5,29)
> ratA(0,41,84)
> ratB(0,5,30)
> ratA(0,41,83)
> ratB(0,5,31)
> ratA(0,42,83)
> ratB(0,5,32)
> ratA(0,43,83)
> ratB(0,5,33)
> ratA(0,42,83)
> ratB(0,6,33)
> ratA(0,41,83)
> ratB(0,7,33)
> ratA(0,40,83)
> ratB(0,7,32)
> ratA(0,39,83)
> ratB(0,7,31)
> ratA(0,39,84)
> ratB(0,8,31)
> ratA(0,39,85)
> ratB(0,9,31)
> ratA(0,39,84)
> ratB(0,10,31)
> ratA(0,39,83)
> ratB(0,11,31)
> ratA(0,38,83)
> ratB(0,11,32)
> ratA(0,37,83)
> ratB(0,11,33)
> ratA(0,37,84)
> ratB(0,10,33)
> ratA(0,37,85)
> ratB(0,9,33)
> ratA(0,37,84)
> ratB(0,9,34)
> ratA(0,37,83)
> ratB(0,9,35)
> ratA(0,38,83)
> ratB(0,10,35)
> ratA(0,39,83)
> ratB(0,11,35)
> ratA(0,39,82)
> ratB(0,11,36)
> ratA(0,39,81)
> ratB(0,11,37)
> ratA(0,39,80)
> ratB(0,10,37)
> ratA(0,39,79)
> ratB(0,9,37)
> ratA(0,39,80)
> ratB(0,8,37)
> ratA(0,39,81)
> ratB(0,7,37)
> ratA(0,39,82)
> ratB(0,7,36)
> ratA(0,39,83)
> ratB(0,7,35)
> ratA(0,40,83)
> ratB(0,6,35)
> ratA(0,41,83)
> ratB(0,5,35)
> ratA(0,41,84)
> ratB(0,5,36)
> ratA(0,41,85)
> ratB(0,5,37)
> ratA(0,41,86)
> ratB(0,5,36)
> ratA(0,41,87)
> ratB(0,5,35)
> ratA(0,40,87)
> ratB(0,6,35)
> ratA(0,39,87)
> ratB(0,7,35)
> ratA(0,38,87)
> ratB(0,7,36)
> ratA(0,37,87)
> ratB(0,7,37)
> ratA(0,36,87)
> ratB(0,8,37)
> ratA(0,35,87)
> ratB(0,9,37)
> ratA(0,35,88)
> ratB(0,10,37)
> ratA(0,35,89)
> ratB(0,11,37)
> ratA(0,35,90)
> ratB(0,11,36)
> ratA(0,35,91)
> ratB(0,11,35)
> ratA(0,36,91)
> ratB(0,10,35)
> ratA(0,37,91)
> ratB(0,9,35)
> ratA(0,36,91)
> ratB(0,9,34)
> ratA(0,35,91)
> ratB(0,9,33)
> ratA(0,35,90)
> ratB(0,10,33)
> ratA(0,35,89)
> ratB(0,11,33)
> ratA(0,34,89)
> ratB(0,12,33)
> ratA(0,33,89)
> ratB(0,13,33)
> ratA(0,33,88)
> ratB(0,13,32)
> ratA(0,33,87)
> ratB(0,13,31)
> ratA(0,33,88)
> ratB(0,14,31)
> ratA(0,33,89)
> ratB(0,15,31)
> ratA(0,34,89)
> ratB(0,16,31)
> ratA(0,35,89)
> ratB(0,17,31)
> ratA(0,35,88)
> ratB(0,18,31)
> ratA(0,35,87)
> ratB(0,19,31)
> ratA(0,35,86)
> ratB(0,19,30)
> ratA(0,35,85)
> ratB(0,19,29)
> ratA(0,35,86)
> ratB(0,20,29)
> ratA(0,35,87)
> ratB(0,21,29)
> ratA(0,36,87)
> ratB(0,22,29)
> ratA(0,37,87)
> ratB(0,23,29)
> ratA(0,37,88)
> ratB(0,24,29)
> ratA(0,37,89)
> ratB(0,25,29)
> ratA(0,38,89)
> ratB(0,25,28)
> ratA(0,39,89)
> ratB(0,25,27)
> ratA(0,39,90)
> ratB(0,25,26)
> ratA(0,39,91)
> ratB(0,25,25)
> ratA(0,39,92)
> ratB(0,26,25)
> ratA(0,39,93)
> ratB(0,27,25)
> ratA(0,38,93)
> ratB(0,27,26)
> ratA(0,37,93)
> ratB(0,27,27)
> ratA(0,36,93)
> ratB(0,27,28)
> ratA(0,35,93)
> ratB(0,27,29)
> ratA(0,35,94)
> ratB(0,28,29)
> ratA(0,35,95)
> ratB(0,29,29)
> ratA(0,35,96)
> ratB(0,29,28)
> ratA(0,35,97)
> ratB(0,29,27)
> ratA(0,36,97)
> ratB(0,29,26)
> ratA(0,37,97)
> ratB(0,29,25)
> ratA(0,38,97)
> ratB(0,29,24)
> ratA(0,39,97)
> ratB(0,29,23)
> ratA(0,40,97)
> ratB(0,30,23)
> ratA(0,41,97)
> ratB(0,31,23)
> ratA(0,42,97)
> ratB(0,31,22)
> ratA(0,43,97)
> ratB(0,31,21)
> ratA(0,43,98)
> ratB(0,31,20)
> ratA(0,43,99)
> ratB(0,31,19)
> ratA(0,44,99)
> ratB(0,30,19)
> ratA(0,45,99)
> ratB(0,29,19)
> ratA(0,46,99)
> ratB(0,29,18)
> ratA(0,47,99)
> ratB(0,29,17)
> ratA(0,47,98)
> ratB(0,29,16)
> ratA(0,47,97)
> ratB(0,29,15)
> ratA(0,47,96)
> ratB(0,28,15)
> ratA(0,47,95)
> ratB(0,27,15)
> ratA(0,47,94)
> ratB(0,27,16)
> ratA(0,47,93)
> ratB(0,27,17)
> ratA(0,48,93)
> ratB(0,26,17)
> ratA(0,49,93)
> ratB(0,25,17)
> ratA(0,48,93)
> ratB(0,24,17)
> ratA(0,47,93)
> ratB(0,23,17)
> ratA(0,47,94)
> ratB(0,22,17)
> ratA(0,47,95)
> ratB(0,21,17)
> ratA(0,46,95)
> ratB(0,21,16)
> ratA(0,45,95)
> ratB(0,21,15)
> ratA(0,44,95)
> ratB(0,22,15)
> ratA(0,43,95)
> ratB(0,23,15)
> ratA(0,43,94)
